종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"060310","3S","KOSDAQ","의료·정밀기기","2120","5","0.24","112485164800"
"054620","APS","KOSDAQ","금융","4995","40","0.81","99371633895"
"265520","AP시스템","KOSDAQ","기계·장비","17050","-90","-0.53","260548228050"
"211270","AP위성","KOSDAQ","전기·전자","12720","200","1.60","191846906880"
"109960","AP헬스케어","KOSDAQ","유통","324","2","0.62","71535723156"
"139050","BF랩스","KOSDAQ","IT 서비스","2805","0","0.00","24247965555"
"126600","BGF에코머티리얼즈","KOSDAQ","화학","3000","-30","-0.99","188300697000"
"083790","CG인바이츠","KOSDAQ","일반서비스","1799","29","1.64","138332633418"
"035760","CJ ENM","KOSDAQ","오락·문화","69900","300","0.43","1532847864600"
"311690","CJ 바이오사이언스","KOSDAQ","일반서비스","9540","80","0.85","124644507480"
"051500","CJ프레시웨이","KOSDAQ","유통","29550","600","2.07","350805366300"
"058820","CMG제약","KOSDAQ","제약","1992","31","1.58","284968613736"
"023460","CNH","KOSDAQ","금융","27","-4","-12.90","1004400000"
"056730","CNT85","KOSDAQ","건설","806","2","0.25","59733615916"
"065770","CS","KOSDAQ","전기·전자","1105","-27","-2.39","21449298650"
"083660","CSA 코스믹","KOSDAQ","화학","2430","20","0.83","148830649830"
"477760","DB금융스팩12호","KOSDAQ","금융","2090","5","0.24","12205600000"
"099520","DGI","KOSDAQ","전기·전자","1284","0","0.00","58141862016"
"060900","DGP","KOSDAQ","전기·가스·수도","1264","-8","-0.63","33020772656"
"290120","DH오토리드","KOSDAQ","운송장비·부품","2680","-30","-1.11","42408987320"
"025440","DH오토웨어","KOSDAQ","전기·전자","851","3","0.35","41512821624"
"068790","DMS","KOSDAQ","기계·장비","6330","0","0.00","149939488590"
"241520","DSC인베스트먼트","KOSDAQ","금융","7220","-70","-0.96","194940000000"
"180400","DXVX","KOSDAQ","일반서비스","2010","122","6.46","98931058320"
"418620","E8","KOSDAQ","IT 서비스","4715","45","0.96","60589999055"
"245620","EDGC","KOSDAQ","일반서비스","415","0","0.00","57474989665"
"037370","EG","KOSDAQ","화학","6000","0","0.00","51749832000"
"050120","ES큐브","KOSDAQ","유통","2715","-175","-6.06","36826493490"
"214270","FSN","KOSDAQ","IT 서비스","2830","-55","-1.91","120048042490"
"130500","GH신소재","KOSDAQ","섬유·의류","3025","85","2.89","43998782300"
"900290","GRT","KOSDAQ","금융","3055","-25","-0.81","246996750000"
"083450","GST","KOSDAQ","기계·장비","19130","-140","-0.73","352565900000"
"297890","HB솔루션","KOSDAQ","기계·장비","2305","-20","-0.86","168589806770"
"440290","HB인베스트먼트","KOSDAQ","금융","2240","35","1.59","60719702400"
"078150","HB테크놀러지","KOSDAQ","기계·장비","1877","-9","-0.48","174027774332"
"195940","HK이노엔","KOSDAQ","제약","42500","-150","-0.35","1204020367500"
"028300","HLB","KOSDAQ","제약","49400","500","1.02","6492664971000"
"278650","HLB바이오스텝","KOSDAQ","일반서비스","1427","4","0.28","124156904153"
"067630","HLB생명과학","KOSDAQ","제약","4805","-10","-0.21","585811463690"
"024850","HLB이노베이션","KOSDAQ","전기·전자","1818","1","0.06","262344895614"
"187420","HLB제넥스","KOSDAQ","제약","3175","15","0.47","92506425350"
"047920","HLB제약","KOSDAQ","일반서비스","17470","130","0.75","572864989320"
"115450","HLB테라퓨틱스","KOSDAQ","유통","4130","-115","-2.71","348451825260"
"046210","HLB파나진","KOSDAQ","제약","1990","2","0.10","89601891240"
"196300","HLB펩","KOSDAQ","제약","8240","50","0.61","76577599520"
"403870","HPSP","KOSDAQ","기계·장비","26300","-350","-1.31","2196012338400"
"036640","HRS","KOSDAQ","화학","5590","30","0.54","91423332000"
"442770","IBKS제21호스팩","KOSDAQ","금융","2155","0","0.00","9072550000"
"448760","IBKS제22호스팩","KOSDAQ","금융","2275","0","0.00","10078250000"
"467930","IBKS제23호스팩","KOSDAQ","금융","2175","15","0.69","9200250000"
"469480","IBKS제24호스팩","KOSDAQ","금융","2140","5","0.23","9052200000"
"095340","ISC","KOSDAQ","유통","60200","-300","-0.50","1276062891600"
"950170","JTC","KOSDAQ","유통","7140","240","3.48","369468924720"
"067290","JW신약","KOSDAQ","제약","1670","28","1.71","89138130420"
"035900","JYP Ent.","KOSDAQ","오락·문화","71300","-100","-0.14","2533466679600"
"318000","KBG","KOSDAQ","화학","4530","-15","-0.33","39593210190"
"024840","KBI메탈","KOSDAQ","금속","2095","90","4.49","73134771905"
"024120","KB오토시스","KOSDAQ","운송장비·부품","3510","20","0.57","40365000000"
"455250","KB제25호스팩","KOSDAQ","금융","2110","-20","-0.94","9083550000"
"464680","KB제27호스팩","KOSDAQ","금융","2025","5","0.25","26132625000"
"478390","KB제29호스팩","KOSDAQ","금융","2065","-5","-0.24","12844300000"
"486630","KB제30호스팩","KOSDAQ","금융","2065","-5","-0.24","10965150000"
"492220","KB제31호스팩","KOSDAQ","금융","2000","0","0.00","12420000000"
"0037T0","KB제32호스팩","KOSDAQ","금융","1997","-2","-0.10","12641010000"
"021320","KCC건설","KOSDAQ","건설","5850","380","6.95","125190000000"
"044180","KD","KOSDAQ","건설","609","-5","-0.81","16271139591"
"046440","KG모빌리언스","KOSDAQ","IT 서비스","5890","370","6.70","223883623780"
"151860","KG에코솔루션","KOSDAQ","운송장비·부품","6820","150","2.25","324652473640"
"035600","KG이니시스","KOSDAQ","IT 서비스","12160","1040","9.35","335061917440"
"226360","KH 건설","KOSDAQ","건설","2555","0","0.00","67617390260"
"111870","KH 미래물산","KOSDAQ","전기·전자","8910","0","0.00","62746456410"
"060720","KH바텍","KOSDAQ","전기·전자","10770","130","1.22","255006050340"
"058400","KNN","KOSDAQ","오락·문화","773","7","0.91","102368173560"
"101000","KS인더스트리","KOSDAQ","기계·장비","2265","90","4.14","75757006530"
"089600","KT나스미디어","KOSDAQ","일반서비스","17380","30","0.17","201054672940"
"418470","KT밀리의서재","KOSDAQ","IT 서비스","17440","-10","-0.06","148227600160"
"043610","KT지니뮤직","KOSDAQ","오락·문화","2330","30","1.30","135408970540"
"122450","KX","KOSDAQ","오락·문화","4915","15","0.31","220289484110"
"052900","KX하이텍","KOSDAQ","화학","1025","0","0.00","56485204925"
"036560","KZ정밀","KOSDAQ","기계·장비","12730","140","1.11","200497500000"
"061970","LB세미콘","KOSDAQ","전기·전자","3500","-50","-1.41","203290521000"
"309960","LB인베스트먼트","KOSDAQ","금융","4995","200","4.17","115970108805"
"225190","LK삼양","KOSDAQ","의료·정밀기기","2195","25","1.15","111392825800"
"060370","LS마린솔루션","KOSDAQ","건설","29800","300","1.02","973531849200"
"417200","LS머트리얼즈","KOSDAQ","전기·전자","10830","20","0.19","732678296970"
"078020","LS증권","KOSDAQ","금융","5550","390","7.56","307920604500"
"322180","LS티라유텍","KOSDAQ","IT 서비스","5280","20","0.38","110468075520"
"476080","M83","KOSDAQ","오락·문화","13850","-60","-0.43","107822250000"
"086960","MDS테크","KOSDAQ","IT 서비스","1380","23","1.69","128094067440"
"160550","NEW","KOSDAQ","오락·문화","2205","5","0.23","61532963730"
"053290","NE능률","KOSDAQ","오락·문화","2700","60","2.27","44621028900"
"060250","NHN KCP","KOSDAQ","금융","15080","3480","30.00","605622013880"
"104200","NHN벅스","KOSDAQ","IT 서비스","3095","30","0.98","45891267250"
"063570","NICE인프라","KOSDAQ","일반서비스","4855","80","1.68","165787219440"
"222160","NPX","KOSDAQ","기계·장비","8040","0","0.00","79551289560"
"024940","PN풍년","KOSDAQ","유통","4715","-35","-0.74","47150000000"
"332570","PS일렉트로닉스","KOSDAQ","전기·전자","3190","0","0.00","140922460800"
"218410","RFHIC","KOSDAQ","전기·전자","27200","900","3.42","720376822400"
"327260","RF머트리얼즈","KOSDAQ","전기·전자","5720","-10","-0.17","48238081320"
"474610","RF시스템즈","KOSDAQ","금속","4530","95","2.14","60448872660"
"091340","S&K폴리텍","KOSDAQ","전기·전자","2885","25","0.87","33765235085"
"419530","SAMG엔터","KOSDAQ","오락·문화","85200","-300","-0.35","752949036000"
"019550","SBI인베스트먼트","KOSDAQ","금융","795","10","1.27","128842927125"
"950110","SBI핀테크솔루션즈","KOSDAQ","IT 서비스","4930","0","0.00","118579022200"
"246960","SCL사이언스","KOSDAQ","제약","3180","-105","-3.20","26964412500"
"099220","SDN","KOSDAQ","유통","1331","-12","-0.89","86440929850"
"036540","SFA반도체","KOSDAQ","전기·전자","3095","-30","-0.96","509004637785"
"255220","SG","KOSDAQ","비금속","2020","-10","-0.49","199313254560"
"040610","SG&G","KOSDAQ","운송장비·부품","1926","15","0.78","65651939496"
"049470","SGA","KOSDAQ","IT 서비스","591","136","29.89","34787589159"
"184230","SGA솔루션즈","KOSDAQ","IT 서비스","625","38","6.47","48639850000"
"016250","SGC E&C","KOSDAQ","건설","16740","60","0.36","84319145640"
"357880","SKAI","KOSDAQ","IT 서비스","2420","-15","-0.62","82396046260"
"048550","SM C&C","KOSDAQ","일반서비스","1490","24","1.64","144104783800"
"063440","SM Life Design","KOSDAQ","출판·매체복제","1609","8","0.50","74060908786"
"067160","SOOP","KOSDAQ","IT 서비스","90500","-600","-0.66","1040276413500"
"289080","SV인베스트먼트","KOSDAQ","금융","1675","30","1.82","90678218750"
"013720","THE CUBE&","KOSDAQ","운송장비·부품","1042","-23","-2.16","63382925006"
"089230","THE E&M","KOSDAQ","IT 서비스","1302","-2","-0.15","31681504806"
"032540","TJ미디어","KOSDAQ","전기·전자","6160","30","0.49","85818711440"
"048770","TPC","KOSDAQ","기계·장비","2145","10","0.47","33672190695"
"246690","TS인베스트먼트","KOSDAQ","금융","1603","14","0.88","66489012786"
"317240","TS트릴리온","KOSDAQ","화학","229","3","1.33","24558171138"
"057030","YBM넷","KOSDAQ","일반서비스","3635","20","0.55","59296653595"
"040300","YTN","KOSDAQ","오락·문화","3035","35","1.17","144699634300"
"051390","YW","KOSDAQ","유통","4085","255","6.66","46386678280"
"052220","iMBC","KOSDAQ","오락·문화","3565","5","0.14","81995000000"
"079940","가비아","KOSDAQ","IT 서비스","28050","2000","7.68","379675936200"
"078890","가온그룹","KOSDAQ","전기·전자","3275","65","2.02","59103505800"
"399720","가온칩스","KOSDAQ","전기·전자","43700","-1000","-2.24","506938354000"
"036620","감성코퍼레이션","KOSDAQ","유통","6540","150","2.35","598410000000"
"198440","강동씨앤엘","KOSDAQ","비금속","1179","2","0.17","71838705384"
"217730","강스템바이오텍","KOSDAQ","제약","1620","25","1.57","90807721380"
"114190","강원에너지","KOSDAQ","전기·전자","10340","-100","-0.96","270112212920"
"094480","갤럭시아머니트리","KOSDAQ","IT 서비스","12390","620","5.27","486057692820"
"039240","경남스틸","KOSDAQ","금속","3135","-5","-0.16","84581058540"
"053950","경남제약","KOSDAQ","제약","667","4","0.60","52124287786"
"011040","경동제약","KOSDAQ","제약","6120","110","1.83","188304847920"
"024910","경창산업","KOSDAQ","운송장비·부품","1683","-6","-0.36","60283385415"
"049720","고려신용정보","KOSDAQ","일반서비스","10200","70","0.69","145860000000"
"014570","고려제약","KOSDAQ","제약","4780","115","2.47","52580000000"
"348150","고바이오랩","KOSDAQ","일반서비스","4995","15","0.30","96997350555"
"950190","고스트스튜디오","KOSDAQ","IT 서비스","10300","230","2.28","134075707700"
"098460","고영","KOSDAQ","기계·장비","15040","-210","-1.38","1032567515200"
"035290","골드앤에스","KOSDAQ","오락·문화","407","4","0.99","19404327360"
"215000","골프존","KOSDAQ","IT 서비스","76300","3800","5.24","478814164500"
"121440","골프존홀딩스","KOSDAQ","유통","6360","310","5.12","272442162480"
"366030","공구우먼","KOSDAQ","섬유·의류","4460","40","0.90","101036171000"
"014200","광림","KOSDAQ","운송장비·부품","6040","0","0.00","91311391200"
"029480","광무","KOSDAQ","전기·전자","2320","20","0.87","130618053200"
"026910","광진실업","KOSDAQ","금속","2805","45","1.63","17967161025"
"440790","교보13호스팩","KOSDAQ","금융","2150","0","0.00","8707500000"
"456490","교보14호스팩","KOSDAQ","금융","2155","5","0.23","9051000000"
"465320","교보15호스팩","KOSDAQ","금융","2135","5","0.23","8134350000"
"482520","교보16호스팩","KOSDAQ","금융","2050","-5","-0.24","12505000000"
"489210","교보17호스팩","KOSDAQ","금융","2050","-10","-0.49","10619000000"
"053270","구영테크","KOSDAQ","운송장비·부품","2300","-15","-0.65","63043931500"
"066620","국보디자인","KOSDAQ","건설","21300","1690","8.62","159750000000"
"043650","국순당","KOSDAQ","음식료·담배","4770","115","2.47","85184110080"
"006050","국영지앤엠","KOSDAQ","비금속","1326","11","0.84","46271092218"
"060480","국일신동","KOSDAQ","금속","1848","46","2.55","20494320000"
"078130","국일제지","KOSDAQ","종이·목재","800","0","0.00","901924696800"
"307750","국전약품","KOSDAQ","제약","3630","45","1.26","181377051900"
"035080","그래디언트","KOSDAQ","유통","15230","320","2.15","208294587540"
"453450","그리드위즈","KOSDAQ","일반서비스","22950","-750","-3.16","182286112500"
"204020","그리티","KOSDAQ","섬유·의류","3950","-150","-3.66","76830786400"
"402490","그린리소스","KOSDAQ","전기·전자","13650","-20","-0.15","113014410600"
"114450","그린생명과학","KOSDAQ","제약","2700","20","0.75","54000000000"
"186230","그린플러스","KOSDAQ","금속","6850","-10","-0.15","74803287800"
"900070","글로벌에스엠","KOSDAQ","금융","509","-22","-4.14","27355679712"
"204620","글로벌텍스프리","KOSDAQ","금융","7080","-60","-0.84","497605976400"
"019660","글로본","KOSDAQ","유통","2470","-50","-1.98","34442502510"
"053260","금강철강","KOSDAQ","금속","4410","-35","-0.79","82555200000"
"282720","금양그린파워","KOSDAQ","건설","10060","-60","-0.59","121922170000"
"036190","금화피에스시","KOSDAQ","건설","33100","900","2.80","198600000000"
"049080","기가레인","KOSDAQ","전기·전자","513","1","0.20","43545157011"
"420770","기가비스","KOSDAQ","기계·장비","25250","-150","-0.59","320062889500"
"035460","기산텔레콤","KOSDAQ","전기·전자","2140","25","1.18","31195507600"
"407400","꿈비","KOSDAQ","기타제조","7920","0","0.00","117331109280"
"187790","나노","KOSDAQ","화학","1330","-20","-1.48","41018303900"
"121600","나노신소재","KOSDAQ","화학","49050","-200","-0.41","598305915900"
"286750","나노실리칸첨단소재","KOSDAQ","화학","1679","-1","-0.06","36121265561"
"247660","나노씨엠에스","KOSDAQ","전기·전자","5390","-150","-2.71","23413728800"
"039860","나노엔텍","KOSDAQ","의료·정밀기기","3695","60","1.65","118646752990"
"091970","나노캠텍","KOSDAQ","화학","621","-14","-2.20","23236263153"
"417010","나노팀","KOSDAQ","기계·장비","5180","-130","-2.45","104435679040"
"405920","나라셀라","KOSDAQ","유통","2450","30","1.24","31551286200"
"051490","나라엠앤디","KOSDAQ","기계·장비","3890","40","1.04","55238000000"
"137080","나래나노텍","KOSDAQ","기계·장비","3070","-15","-0.49","33952425540"
"190510","나무가","KOSDAQ","전기·전자","13960","120","0.87","205000980640"
"242040","나무기술","KOSDAQ","IT 서비스","1653","12","0.73","57204154392"
"293580","나우IB","KOSDAQ","금융","1431","15","1.06","135844758450"
"459510","나우로보틱스","KOSDAQ","기계·장비","19060","130","0.69","239159771920"
"138610","나이벡","KOSDAQ","제약","24100","350","1.47","272466381900"
"130580","나이스디앤비","KOSDAQ","일반서비스","5490","10","0.18","84546000000"
"036800","나이스정보통신","KOSDAQ","통신","23800","850","3.70","238000000000"
"267320","나인테크","KOSDAQ","기계·장비","4560","155","3.52","249654281760"
"111710","남화산업","KOSDAQ","오락·문화","4750","-155","-3.16","97793000000"
"091590","남화토건","KOSDAQ","건설","4320","50","1.17","50716800000"
"168330","내츄럴엔도텍","KOSDAQ","일반서비스","3435","110","3.31","109078081500"
"094860","네오리진","KOSDAQ","IT 서비스","1012","7","0.70","21656363828"
"253590","네오셈","KOSDAQ","기계·장비","8990","-160","-1.75","394383784360"
"212560","네오오토","KOSDAQ","운송장비·부품","9850","-30","-0.30","77568385550"
"095660","네오위즈","KOSDAQ","IT 서비스","24200","300","1.26","528934947200"
"042420","네오위즈홀딩스","KOSDAQ","IT 서비스","28800","1900","7.06","247502764800"
"950220","네오이뮨텍","KOSDAQ","일반서비스","1050","3","0.29","103810838250"
"311390","네오크레마","KOSDAQ","음식료·담배","5500","70","1.29","69595839500"
"085910","네오티스","KOSDAQ","운송장비·부품","3300","0","0.00","45984899400"
"092730","네오팜","KOSDAQ","화학","15350","530","3.58","246029631150"
"290660","네오펙트","KOSDAQ","의료·정밀기기","1460","20","1.39","67379183960"
"306620","네온테크","KOSDAQ","기계·장비","2150","-5","-0.23","93447322650"
"153460","네이블","KOSDAQ","IT 서비스","7560","120","1.61","49366905840"
"007390","네이처셀","KOSDAQ","제약","27700","-650","-2.29","1784851051200"
"033640","네패스","KOSDAQ","전기·전자","10590","80","0.76","244196949180"
"330860","네패스아크","KOSDAQ","일반서비스","13650","-310","-2.22","166312214250"
"351320","넥사다이내믹스","KOSDAQ","기계·장비","2200","100","4.76","48434949200"
"089140","넥스턴바이오","KOSDAQ","기계·장비","2840","-145","-4.86","36457034560"
"389650","넥스트바이오메디컬","KOSDAQ","의료·정밀기기","43600","-1650","-3.65","354334409600"
"137940","넥스트아이","KOSDAQ","의료·정밀기기","402","6","1.52","34318334784"
"396270","넥스트칩","KOSDAQ","전기·전자","5280","230","4.55","95509603200"
"348210","넥스틴","KOSDAQ","기계·장비","48950","100","0.20","512849394750"
"225570","넥슨게임즈","KOSDAQ","IT 서비스","14370","100","0.70","946410700380"
"205500","넥써쓰","KOSDAQ","IT 서비스","3530","305","9.46","207273477470"
"217270","넵튠","KOSDAQ","IT 서비스","9260","140","1.54","432457214180"
"104620","노랑풍선","KOSDAQ","일반서비스","5910","20","0.34","93626964660"
"473980","노머스","KOSDAQ","오락·문화","34850","50","0.14","379492871700"
"194700","노바렉스","KOSDAQ","음식료·담배","20750","100","0.48","389163096000"
"285490","노바텍","KOSDAQ","기타제조","18050","100","0.56","190893749550"
"145170","노브랜드","KOSDAQ","섬유·의류","5380","0","0.00","90967218900"
"106520","노블엠앤비","KOSDAQ","의료·정밀기기","411","0","0.00","15904036272"
"376930","노을","KOSDAQ","의료·정밀기기","2065","-10","-0.48","76295678900"
"142280","녹십자엠에스","KOSDAQ","제약","4190","160","3.97","91098669940"
"234690","녹십자웰빙","KOSDAQ","제약","9330","10","0.11","165628735080"
"054050","농우바이오","KOSDAQ","농업, 임업 및 어업","8650","220","2.61","138664352650"
"069140","누리플랜","KOSDAQ","금속","1689","15","0.90","22130532927"
"040160","누리플렉스","KOSDAQ","IT 서비스","4100","90","2.24","49427693500"
"332290","누보","KOSDAQ","화학","1220","0","0.00","40729459660"
"348340","뉴로메카","KOSDAQ","기계·장비","23400","500","2.18","265299535800"
"060260","뉴보텍","KOSDAQ","화학","1568","-22","-1.38","21186830112"
"463020","뉴엔AI","KOSDAQ","IT 서비스","37650","4800","14.61","334301880000"
"123840","뉴온","KOSDAQ","기계·장비","1122","-12","-1.06","41687132454"
"012340","뉴인텍","KOSDAQ","운송장비·부품","577","4","0.70","29776928574"
"462310","뉴키즈온","KOSDAQ","섬유·의류","12640","660","5.51","99881280000"
"270870","뉴트리","KOSDAQ","음식료·담배","5610","30","0.54","51613256640"
"144960","뉴파워프라즈마","KOSDAQ","기계·장비","5360","-10","-0.19","234192464640"
"085670","뉴프렉스","KOSDAQ","전기·전자","4265","-40","-0.93","104282495665"
"064260","다날","KOSDAQ","IT 서비스","9160","90","0.99","631573206400"
"340360","다보링크","KOSDAQ","전기·전자","1524","1","0.07","66982709316"
"039560","다산네트웍스","KOSDAQ","전기·전자","3030","35","1.17","120030362430"
"154040","다산솔루에타","KOSDAQ","전기·전자","1277","7","0.55","22922270038"
"032190","다우데이타","KOSDAQ","유통","19120","450","2.41","732296000000"
"323350","다원넥스뷰","KOSDAQ","의료·정밀기기","7400","40","0.54","59279712800"
"068240","다원시스","KOSDAQ","전기·전자","8480","10","0.12","323625945760"
"464580","닷밀","KOSDAQ","오락·문화","2785","-10","-0.36","51131168510"
